,repo_name,first_commit_date,last_commit_date,#months_between_commits,isCriteria3Met,#total_file_changes,#total_iac_changes,#total_commits,#total_iac_commits,average_iac_change_rate
0,fuel-plugin-vxlan-vlan-7,2017-05-02 19:05:43+00:00,2016-04-11 13:10:38+00:00,14,False,79,32,26,26,2.29
1,fuel-plugin-external-ceph,2016-08-22 08:58:55+00:00,2016-03-11 13:59:32+00:00,6,False,97,40,14,14,6.67
2,fuel-plugin-etckeeper,2016-05-13 22:01:03+00:00,2016-02-04 15:25:27+00:00,4,False,37,4,9,9,1.0
3,fuel-plugin-standalone-ceph,2016-11-07 09:49:37+00:00,2015-10-19 13:42:47+00:00,14,False,200,85,38,38,6.07
4,fuel-plugin-openldap,2016-06-07 18:27:17+00:00,2015-09-30 11:09:13+00:00,10,False,817,127,27,27,12.7
5,fuel-plugin-backup,2015-12-23 08:08:28+00:00,2015-03-24 10:57:50+00:00,10,False,165,22,49,49,2.2
6,fuel-plugin-swift,2015-07-30 12:59:47+00:00,2015-07-14 10:22:21+00:00,1,True,54,14,11,11,14.0
7,solar-resources,2016-02-12 10:52:21+00:00,2015-03-27 22:54:19+00:00,12,True,5363,733,951,951,61.08
8,fuel-plugin-celebrer,2016-01-27 00:02:30+00:00,2015-12-22 12:35:54+00:00,2,True,100,39,52,52,19.5
9,puppet-deployapp,2015-07-29 18:08:23+00:00,2015-07-29 18:05:24+00:00,1,True,25,10,2,2,10.0
10,puppet-foreman_proxy,2015-07-30 17:04:00+00:00,2015-07-27 13:47:57+00:00,1,True,72,24,5,5,24.0
11,pmlc_keystone,2015-07-28 20:57:38+00:00,2015-07-27 13:43:47+00:00,1,True,19,9,3,3,9.0
12,pmlc_neutron,2015-07-30 16:39:21+00:00,2015-07-27 13:43:32+00:00,1,True,34,22,6,6,22.0
13,pmlc_cinder,2015-07-27 16:55:08+00:00,2015-07-27 13:43:18+00:00,1,True,13,6,2,2,6.0
14,pmlc_nova,2015-07-30 16:37:35+00:00,2015-07-27 13:43:02+00:00,1,True,32,21,9,9,21.0
15,roles,2015-07-28 02:20:12+00:00,2015-07-27 13:20:54+00:00,1,True,42,30,8,8,30.0
16,profiles,2015-07-28 02:21:10+00:00,2015-07-27 13:20:35+00:00,1,True,58,41,5,5,41.0
17,solar,2015-12-11 09:06:55+00:00,2015-03-27 22:54:19+00:00,10,True,12477,922,2280,2280,92.2
18,puppet-sudo,2015-05-15 05:41:51+00:00,2015-05-15 04:47:37+00:00,1,True,40,9,3,3,9.0
19,puppet-savanna,2013-08-28 08:04:01+00:00,2013-07-30 08:20:17+00:00,2,False,348,77,7,7,38.5
