,repo_name,first_commit_date,last_commit_date,commits_count,numOfMonths,is_repo_valid
0,fuel-plugin-vxlan-vlan-7,2016-04-11 13:10:38+00:00,2017-05-02 19:05:43+00:00,26,14,False
1,fuel-plugin-external-ceph,2016-03-11 13:59:32+00:00,2016-08-22 08:58:55+00:00,14,6,True
2,fuel-plugin-etckeeper,2016-02-04 15:25:27+00:00,2016-05-13 22:01:03+00:00,9,4,True
3,fuel-plugin-standalone-ceph,2015-10-19 13:42:47+00:00,2016-11-07 09:49:37+00:00,38,14,True
4,fuel-plugin-openldap,2015-09-30 11:09:13+00:00,2016-06-07 18:27:17+00:00,27,10,True
5,fuel-plugin-backup,2015-03-24 10:57:50+00:00,2015-12-23 08:08:28+00:00,49,10,True
6,fuel-plugin-swift,2015-07-14 10:22:21+00:00,2015-07-30 12:59:47+00:00,11,1,True
7,solar-resources,2015-03-27 22:54:19+00:00,2016-02-12 10:52:21+00:00,951,12,True
8,fuel-plugin-celebrer,2015-12-22 12:35:54+00:00,2016-01-27 00:02:30+00:00,52,2,True
9,puppet-deployapp,2015-07-29 18:05:24+00:00,2015-07-29 18:08:23+00:00,2,1,True
10,puppet-foreman_proxy,2015-07-27 13:47:57+00:00,2015-07-30 17:04:00+00:00,5,1,True
11,pmlc_keystone,2015-07-27 13:43:47+00:00,2015-07-28 20:57:38+00:00,3,1,True
12,pmlc_neutron,2015-07-27 13:43:32+00:00,2015-07-30 16:39:21+00:00,6,1,True
13,pmlc_cinder,2015-07-27 13:43:18+00:00,2015-07-27 16:55:08+00:00,2,1,True
14,pmlc_nova,2015-07-27 13:43:02+00:00,2015-07-30 16:37:35+00:00,9,1,True
15,roles,2015-07-27 13:20:54+00:00,2015-07-28 02:20:12+00:00,8,1,True
16,profiles,2015-07-27 13:20:35+00:00,2015-07-28 02:21:10+00:00,5,1,True
17,solar,2015-03-27 22:54:19+00:00,2015-12-11 09:06:55+00:00,2280,10,True
18,puppet-sudo,2015-05-15 04:47:37+00:00,2015-05-15 05:41:51+00:00,3,1,True
19,puppet-savanna,2013-07-30 08:20:17+00:00,2013-08-28 08:04:01+00:00,7,2,True
