number,name,fullname,id,fileCount,iacCount,iacPercentage,isCriteria2Met
0,openstack-refapp,Mirantis/openstack-refapp,543645184,29,0,0,0
1,mcc-api,Mirantis/mcc-api,483131262,3460,0,0,0
2,mosk-triliovault,Mirantis/mosk-triliovault,467116725,40,0,0,0
3,mcc-on-equinix-terraform-templates,Mirantis/mcc-on-equinix-terraform-templates,433319984,36,0,0,0
4,security,Mirantis/security,414986840,18,0,0,0
5,dataops-dataeng,Mirantis/dataops-dataeng,379382201,193,0,0,0
6,oscalkit,Mirantis/oscalkit,345722131,0,0,0,0
7,prodsec,Mirantis/prodsec,333183446,0,0,0,0
8,cri-dockerd,Mirantis/cri-dockerd,318491505,4736,0,0,0
9,helm-charts,Mirantis/helm-charts,315941016,15,0,0,0
10,lens-extension-cc,Mirantis/lens-extension-cc,309674876,194,0,0,0
11,container-cloud-cli,Mirantis/container-cloud-cli,292894438,3,0,0,0
12,libnetwork,Mirantis/libnetwork,281320563,1848,0,0,0
13,compose-on-kubernetes,Mirantis/compose-on-kubernetes,275253939,0,0,0,0
14,libkv,Mirantis/libkv,271916401,0,0,0,0
15,cli,Mirantis/cli,271395415,0,0,0,0
16,vol-test,Mirantis/vol-test,267038828,0,0,0,0
17,launchpad,Mirantis/launchpad,266059369,114,0,0,0
18,atsea-sample-shop-app,Mirantis/atsea-sample-shop-app,265791780,238,0,0,0
19,openstack-k8s-virtual-lab,Mirantis/openstack-k8s-virtual-lab,261411203,21,0,0,0
20,mcc-salesforce-collector,Mirantis/mcc-salesforce-collector,254376805,0,0,0,0
21,trailer,Mirantis/trailer,242215296,522,0,0,0
22,release-openstack-k8s,Mirantis/release-openstack-k8s,241894081,70,0,0,0
23,magma-argocd-apps,Mirantis/magma-argocd-apps,239733019,35,0,0,0
24,magma,Mirantis/magma,237985011,0,0,0,0
25,testme,Mirantis/testme,232636226,0,0,0,0
26,cna-images,Mirantis/cna-images,224222306,6,0,0,0
27,k8srnd-sockshop-user,Mirantis/k8srnd-sockshop-user,207748355,46,0,0,0
28,k8srnd-sockshop-shipping,Mirantis/k8srnd-sockshop-shipping,207748180,33,0,0,0
29,k8srnd-sockshop-queue-master,Mirantis/k8srnd-sockshop-queue-master,207748043,37,0,0,0
30,k8srnd-sockshop-payment,Mirantis/k8srnd-sockshop-payment,207747854,33,0,0,0
31,k8srnd-sockshop-orders,Mirantis/k8srnd-sockshop-orders,207747632,54,0,0,0
32,k8srnd-sockshop-front-end,Mirantis/k8srnd-sockshop-front-end,207747469,146,0,0,0
33,k8srnd-sockshop-catalogue,Mirantis/k8srnd-sockshop-catalogue,207746789,63,0,0,0
34,k8srnd-sockshop-carts,Mirantis/k8srnd-sockshop-carts,207746635,62,0,0,0
35,netshoot,Mirantis/netshoot,198268723,0,0,0,0
36,cvp-shaker,Mirantis/cvp-shaker,181013601,41,0,0,0
37,k8s-istio-webinar,Mirantis/k8s-istio-webinar,177960302,53,0,0,0
38,gh-mass-commentor,Mirantis/gh-mass-commentor,176790315,6,0,0,0
39,k8s-istio-workshop,Mirantis/k8s-istio-workshop,170272768,46,0,0,0
40,ip-util-check,Mirantis/ip-util-check,165303350,3,0,0,0
41,docker-get-ucp-job-logs,Mirantis/docker-get-ucp-job-logs,161699412,0,0,0,0
42,container.training,Mirantis/container.training,160706511,0,0,0,0
43,certdump,Mirantis/certdump,156772591,0,0,0,0
44,ucpbackup,Mirantis/ucpbackup,154874943,4,0,0,0
45,dtrbackup,Mirantis/dtrbackup,154871936,3,0,0,0
46,react-operations-ui,Mirantis/react-operations-ui,152263924,49,0,0,0
47,python-operations-api,Mirantis/python-operations-api,151373920,42,0,0,0
48,training-lab-salt-model,Mirantis/training-lab-salt-model,139933267,44,0,0,0
49,cvp-spt,Mirantis/cvp-spt,137483231,18,0,0,0
50,training-lab,Mirantis/training-lab,137056958,46,0,0,0
51,rally-plugins,Mirantis/rally-plugins,133357563,84,0,0,0
52,docker-salt-formulas,Mirantis/docker-salt-formulas,133042363,0,0,0,0
53,python-flask-hello,Mirantis/python-flask-hello,130043686,13,0,0,0
54,python-aptly,Mirantis/python-aptly,130043527,14,0,0,0
55,docker-aptly,Mirantis/docker-aptly,130043466,11,0,0,0
56,mirantis-demos,Mirantis/mirantis-demos,127261193,7,0,0,0
57,heat-fragments,Mirantis/heat-fragments,126982107,15,0,0,0
58,kubernetes-aws-model,Mirantis/kubernetes-aws-model,126981993,21,0,0,0
59,contrail-third-party-cache-fixup,Mirantis/contrail-third-party-cache-fixup,126818720,3,0,0,0
60,mcp-local-repo-model,Mirantis/mcp-local-repo-model,122048295,2,0,0,0
61,NAC_esc_210,Mirantis/NAC_esc_210,120347428,4,0,0,0
62,kqueen-ui,Mirantis/kqueen-ui,116688993,152,0,0,0
63,mcp-offline-model,Mirantis/mcp-offline-model,114386414,5,0,0,0
64,scale-scenarios,Mirantis/scale-scenarios,113574652,415,0,0,0
65,Virtualization-Documentation,Mirantis/Virtualization-Documentation,113501970,0,0,0,0
66,mcp-common-scripts,Mirantis/mcp-common-scripts,110252248,15,0,0,0
67,criproxy,Mirantis/criproxy,109821784,62,0,0,0
68,sriov-scheduler,Mirantis/sriov-scheduler,109241902,29,0,0,0
69,cvp-configuration,Mirantis/cvp-configuration,107128432,112,0,0,0
70,environment-template,Mirantis/environment-template,105147193,197,0,0,0
71,kqueen,Mirantis/kqueen,104763063,129,0,0,0
72,cvp-sanity-checks,Mirantis/cvp-sanity-checks,104355925,64,0,0,0
73,rundeck-cis-jobs,Mirantis/rundeck-cis-jobs,96433388,6,0,0,0
74,k8s-apps,Mirantis/k8s-apps,89498775,1086,0,0,0
75,telegraf,Mirantis/telegraf,88990190,750,0,0,0
76,docker-gerrit,Mirantis/docker-gerrit,87899259,15,0,0,0
77,docker-jenkins,Mirantis/docker-jenkins,87899114,47,0,0,0
78,docker-openldap,Mirantis/docker-openldap,87899006,96,0,0,0
79,docker-phpldapadmin,Mirantis/docker-phpldapadmin,87898878,23,0,0,0
80,mos-updates,Mirantis/mos-updates,85308590,1,0,0,0
81,mk-pipelines,Mirantis/mk-pipelines,85052822,115,0,0,0
82,pipeline-library,Mirantis/pipeline-library,84983196,56,0,0,0
83,kostyor-fuelccp,Mirantis/kostyor-fuelccp,80440155,21,0,0,0
84,spaced-armour-tests,Mirantis/spaced-armour-tests,80195318,33,0,0,0
85,stacklight-salt-model,Mirantis/stacklight-salt-model,79906821,69,0,0,0
86,ifmap-python-client,Mirantis/ifmap-python-client,79810109,16,0,0,0
87,k8s-netchecker-server,Mirantis/k8s-netchecker-server,78005922,48,0,0,0
88,k8s-netchecker-agent,Mirantis/k8s-netchecker-agent,78005378,24,0,0,0
89,bird-containers,Mirantis/bird-containers,76043126,43,0,0,0
90,whale,Mirantis/whale,75394185,91,0,0,0
91,stepler-draft,Mirantis/stepler-draft,74979322,212,0,0,0
92,reclass-system-salt-model,Mirantis/reclass-system-salt-model,74590189,2339,0,0,0
93,k8s-daemonupgradecontroller,Mirantis/k8s-daemonupgradecontroller,74123545,1,0,0,0
94,rpc_monitor,Mirantis/rpc_monitor,73903211,16,0,0,0
95,kostyor-openstack-ansible,Mirantis/kostyor-openstack-ansible,73832730,25,0,0,0
96,compliance,Mirantis/compliance,73235307,1018,0,0,0
97,rabbitmq-autocluster,Mirantis/rabbitmq-autocluster,71781596,55,0,0,0
98,k8s-externalipcontroller,Mirantis/k8s-externalipcontroller,71359393,72,0,0,0
99,tcp-qa,Mirantis/tcp-qa,71233645,454,0,0,0
100,statkube,Mirantis/statkube,71142744,33,0,0,0
101,mk-lab-salt-model,Mirantis/mk-lab-salt-model,70062548,421,0,0,0
102,ccp-docker-opencontrail,Mirantis/ccp-docker-opencontrail,69250440,15,0,0,0
103,stepler,Mirantis/stepler,69032770,495,0,0,0
104,ccp-docker-gerrit,Mirantis/ccp-docker-gerrit,68393782,11,0,0,0
105,ccp-docker-jenkins,Mirantis/ccp-docker-jenkins,68393316,30,0,0,0
106,ccp-pipeline-libs,Mirantis/ccp-pipeline-libs,68393282,7,0,0,0
107,k8s-devbox,Mirantis/k8s-devbox,67054301,30,0,0,0
108,virtlet,Mirantis/virtlet,66279588,536,0,0,0
109,kostyor-cli,Mirantis/kostyor-cli,65840768,27,0,0,0
110,CloudFerry,Mirantis/CloudFerry,64761604,437,0,0,0
111,k8s-AppController,Mirantis/k8s-AppController,64461564,232,0,0,0
112,ceph-lcm,Mirantis/ceph-lcm,63259958,989,0,0,0
113,mira-ceph-ansible,Mirantis/mira-ceph-ansible,62792052,9,0,0,0
114,ceph-monitoring,Mirantis/ceph-monitoring,62792029,54,0,0,0
115,fuel-plugin-lcm-control-repo,Mirantis/fuel-plugin-lcm-control-repo,62058156,0,0,0,0
116,fuel-plugin-lcm,Mirantis/fuel-plugin-lcm,62058117,129,39,0.302325581,2
117,ceph-qa-suite,Mirantis/ceph-qa-suite,60607722,1500,0,0,0
