,repo_name,first_commit_date,last_commit_date,commits_count,numOfMonths,is_repo_valid
0,puppet-placement,2018-09-17 18:14:25+00:00,2022-10-20 11:11:00+00:00,255,50,True
1,puppet-cloudkitty,2016-09-28 09:17:30+00:00,2022-10-20 11:02:49+00:00,398,74,True
2,puppet-tacker,2015-11-05 20:42:54+00:00,2022-10-20 11:12:39+00:00,371,84,True
3,puppet-watcher,2016-05-25 11:31:46+00:00,2022-10-20 11:14:24+00:00,429,78,True
4,puppet-octavia,2016-03-08 10:45:44+00:00,2022-12-05 11:28:01+00:00,651,82,True
5,puppet-pacemaker,2013-01-14 17:01:19+00:00,2022-11-29 18:42:48+00:00,474,119,True
6,puppet-oslo,2016-01-18 04:09:44+00:00,2022-11-30 08:56:28+00:00,455,83,True
7,puppet-ec2api,2016-01-15 13:02:51+00:00,2022-10-20 11:03:33+00:00,357,82,True
8,puppet-rally,2015-12-31 20:43:01+00:00,2022-10-20 11:11:32+00:00,269,83,True
9,puppet-vitrage,2015-12-09 10:12:41+00:00,2022-10-20 11:13:40+00:00,431,83,True
10,puppet-magnum,2015-11-05 08:26:13+00:00,2022-10-31 09:56:37+00:00,491,84,True
11,puppet-barbican,2015-10-01 07:52:35+00:00,2022-10-20 11:01:44+00:00,571,85,True
12,puppet-aodh,2015-09-18 05:38:03+00:00,2022-11-18 02:19:45+00:00,631,87,True
13,puppet-mistral,2015-07-24 11:07:53+00:00,2022-10-20 11:07:14+00:00,524,88,True
14,puppet-openstack-integration,2015-06-23 19:27:13+00:00,2022-12-12 03:07:53+00:00,2553,91,True
15,puppet-zaqar,2015-06-17 21:29:20+00:00,2022-11-21 14:57:27+00:00,429,90,True
16,puppet-openstack-cookiecutter,2015-05-21 19:11:28+00:00,2022-11-07 02:55:50+00:00,282,91,True
17,puppet-murano,2015-02-13 11:03:16+00:00,2022-11-09 00:54:46+00:00,460,94,True
18,puppet-tripleo,2015-02-02 15:15:30+00:00,2022-12-08 20:08:52+00:00,3794,95,True
19,puppet-gnocchi,2014-12-29 12:46:13+00:00,2022-10-20 11:04:19+00:00,593,95,True
20,puppet-manila,2012-09-09 22:24:59+00:00,2022-11-29 18:09:27+00:00,821,123,True
21,devstack-vagrant,2014-02-22 11:47:29+00:00,2020-08-04 10:06:23+00:00,102,79,False
22,puppet-ironic,2013-11-25 17:18:57+00:00,2022-11-26 17:35:24+00:00,1078,109,True
23,puppet-designate,2013-09-25 14:22:17+00:00,2022-12-08 08:56:36+00:00,792,112,True
24,puppet-ceph,2013-10-19 01:29:43+00:00,2022-11-21 11:52:01+00:00,599,110,True
25,puppet-heat,2013-05-30 13:03:52+00:00,2022-12-01 02:17:50+00:00,904,116,True
26,puppet-swift,2012-01-20 02:58:37+00:00,2022-12-12 00:11:10+00:00,1251,132,True
27,puppet-nova,2011-05-25 22:11:27+00:00,2022-11-30 08:58:47+00:00,2979,139,True
28,puppet-glance,2011-06-15 00:55:48+00:00,2022-12-12 07:51:00+00:00,1289,139,True
29,puppet-cinder,2012-09-09 22:24:59+00:00,2022-12-05 09:35:21+00:00,1537,124,True
