,repo_name,first_commit_date,last_commit_date,#months_between_commits,isCriteria3Met,#total_file_changes,#total_iac_changes,#total_commits,#total_iac_commits,average_iac_change_rate
0,puppet-placement,2022-10-20 11:11:00+00:00,2018-09-17 18:14:25+00:00,50,False,571,169,255,110,3.38
1,puppet-cloudkitty,2022-10-20 11:02:49+00:00,2016-09-28 09:17:30+00:00,74,False,827,267,398,173,3.61
2,puppet-tacker,2022-10-20 11:12:39+00:00,2015-11-05 20:42:54+00:00,84,False,760,205,371,130,2.44
3,puppet-watcher,2022-10-20 11:14:24+00:00,2016-05-25 11:31:46+00:00,78,False,898,289,429,173,3.71
4,puppet-octavia,2022-12-05 11:28:01+00:00,2016-03-08 10:45:44+00:00,82,False,1529,516,651,356,6.29
5,puppet-pacemaker,2022-11-29 18:42:48+00:00,2013-01-14 17:01:19+00:00,119,False,2306,1496,474,277,12.57
6,puppet-oslo,2022-11-30 08:56:28+00:00,2016-01-18 04:09:44+00:00,83,False,908,254,455,193,3.06
7,puppet-ec2api,2022-10-20 11:03:33+00:00,2016-01-15 13:02:51+00:00,82,False,751,228,357,126,2.78
8,puppet-rally,2022-10-20 11:11:32+00:00,2015-12-31 20:43:01+00:00,83,False,605,211,269,73,2.54
9,puppet-vitrage,2022-10-20 11:13:40+00:00,2015-12-09 10:12:41+00:00,83,False,914,293,431,182,3.53
10,puppet-magnum,2022-10-31 09:56:37+00:00,2015-11-05 08:26:13+00:00,84,False,1111,349,491,203,4.15
11,puppet-barbican,2022-10-20 11:01:44+00:00,2015-10-01 07:52:35+00:00,85,False,1276,413,571,263,4.86
12,puppet-aodh,2022-11-18 02:19:45+00:00,2015-09-18 05:38:03+00:00,87,False,1447,488,631,305,5.61
13,puppet-mistral,2022-10-20 11:07:14+00:00,2015-07-24 11:07:53+00:00,88,False,1178,361,524,216,4.1
14,puppet-openstack-integration,2022-12-08 02:17:47+00:00,2019-01-30 06:34:51+00:00,48,True,1812,784,1000,452,16.33
15,puppet-zaqar,2022-11-21 14:57:27+00:00,2015-06-17 21:29:20+00:00,90,False,891,242,429,154,2.69
16,puppet-openstack-cookiecutter,2022-11-07 02:55:50+00:00,2015-05-21 19:11:28+00:00,91,False,519,169,282,104,1.86
17,puppet-murano,2022-11-09 00:54:46+00:00,2015-02-13 11:03:16+00:00,94,False,1102,300,460,158,3.19
18,puppet-tripleo,2022-12-08 20:08:52+00:00,2020-03-03 12:01:22+00:00,34,True,3791,2313,1000,797,68.03
19,puppet-gnocchi,2022-10-20 11:04:19+00:00,2014-12-29 12:46:13+00:00,95,False,1397,447,593,274,4.71
20,puppet-manila,2022-11-29 18:09:27+00:00,2012-09-09 22:24:59+00:00,123,False,2625,986,821,453,8.02
21,devstack-vagrant,2020-08-04 10:06:23+00:00,2014-02-22 11:47:29+00:00,79,False,295,72,102,24,0.91
22,puppet-ironic,2022-11-26 17:35:24+00:00,2015-06-16 23:54:50+00:00,90,False,3001,1075,1000,608,11.94
23,puppet-designate,2022-11-26 16:36:47+00:00,2013-09-25 14:22:17+00:00,111,False,2016,776,791,421,6.99
24,puppet-ceph,2022-11-21 11:52:01+00:00,2013-10-19 01:29:43+00:00,110,False,1946,547,599,313,4.97
25,puppet-heat,2022-12-01 02:17:50+00:00,2013-05-30 13:03:52+00:00,116,False,2446,932,904,469,8.03
26,puppet-swift,2022-11-29 18:52:11+00:00,2013-04-10 08:03:41+00:00,116,False,3769,1322,1000,533,11.4
27,puppet-nova,2022-11-30 08:58:47+00:00,2018-08-30 18:10:22+00:00,52,True,3117,1209,1000,710,23.25
28,puppet-glance,2022-11-30 06:49:09+00:00,2014-04-01 05:09:30+00:00,104,False,3134,1138,1000,523,10.94
29,puppet-cinder,2022-12-05 09:35:21+00:00,2016-01-11 12:48:31+00:00,84,False,3241,1205,1000,604,14.35
