,repo_name,first_commit_date,last_commit_date,#months_between_commits,isCriteria3Met,#total_file_changes,#total_iac_changes,#total_commits,#total_iac_commits,average_iac_change_rate
0,operations-debs-python-anycast-healthchecker,2019-02-07 21:40:17+00:00,2014-10-27 15:39:52+00:00,53,False,638,8,394,1,0.15
1,operations-puppet-mesos,2015-04-27 08:30:08+00:00,2013-04-17 07:53:54+00:00,25,False,502,205,225,126,8.2
2,operations-puppet-cassandra,2015-06-19 01:19:53+00:00,2014-10-15 21:27:38+00:00,9,False,41,21,27,17,2.33
3,operations-puppet-mariadb,2017-03-07 15:35:27+00:00,2014-03-26 03:37:10+00:00,37,False,143,107,97,85,2.89
4,operations-puppet-wikimetrics,2017-12-03 00:16:35+00:00,2014-01-20 22:39:19+00:00,48,False,104,64,50,36,1.33
5,puppet-kafka,2017-02-17 16:52:33+00:00,2013-02-22 02:30:47+00:00,49,False,172,101,73,55,2.06
6,analytics-vagrant-build,2013-05-27 09:37:22+00:00,2013-05-14 19:49:12+00:00,1,True,16,10,3,3,10.0
7,analytics-vagrant-kraken,2013-07-08 15:06:40+00:00,2013-04-25 15:27:56+00:00,4,True,42,23,16,10,5.75
8,operations-puppet-cdh4,2017-02-17 16:52:29+00:00,2012-10-02 20:12:35+00:00,53,False,558,363,132,89,6.85
9,puppet,2022-12-08 20:09:04+00:00,2022-11-01 10:50:47+00:00,2,True,2770,1003,1000,447,501.5
10,mediawiki-vagrant,2022-12-06 10:45:25+00:00,2016-12-22 19:01:16+00:00,73,False,3308,1441,1000,673,19.74
11,puppet-storm,2013-02-14 19:16:04+00:00,2012-11-26 21:36:44+00:00,4,False,23,6,12,1,1.5
12,kraken-puppet,2012-11-29 19:28:32+00:00,2012-05-24 16:09:56+00:00,7,False,645,480,281,209,68.57
13,puppet-kafka-0.7.2,2012-12-20 16:08:01+00:00,2012-10-25 19:26:21+00:00,3,False,30,13,14,8,4.33
