org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/keystone/authtoken.pp,4,0,0,0,0,35,5,0,0,0,280,192,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-heat/manifests/keystone/authtoken.pp,4,0,0,0,0,35,7,0,0,0,277,187,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-vitrage/manifests/keystone/authtoken.pp,4,0,0,0,0,35,5,0,0,0,263,186,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-octavia/manifests/keystone/authtoken.pp,4,0,0,0,0,35,5,0,0,0,263,186,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-openstack-cookiecutter/puppet-{{cookiecutter.project_name}}/manifests/keystone/authtoken.pp,4,0,0,0,0,35,5,0,0,0,263,186,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-congress/manifests/keystone/authtoken.pp,4,0,0,0,0,35,5,0,0,0,263,186,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/keystone/auth.pp,21,0,0,0,0,45,28,0,0,3,262,153,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-ec2api/manifests/keystone/authtoken.pp,4,0,0,0,0,35,5,0,0,0,262,186,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/volume/netapp.pp,0,0,0,0,0,31,17,0,0,0,250,182,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-oslo/manifests/messaging/rabbit.pp,0,0,0,0,0,26,1,0,0,0,227,131,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/cluster/manifests/rabbitmq_ocf.pp,0,0,0,0,0,8,31,0,0,0,210,100,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-ceph/manifests/profile/params.pp,1,0,0,0,0,0,3,0,0,0,206,159,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-contrail/deployment_scripts/puppet/modules/contrail/manifests/init.pp,1,0,0,0,0,2,43,0,0,0,201,13,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack/manifests/network/neutron_agents.pp,1,0,0,0,0,53,23,0,1,1,183,22,1
