,name,fulName,id,total_count,error_total,iac_count,error_iac,iacPercent,error_percent,isCriteria2Met
0,avro-php,wikimedia/avro-php,575457658,2,0,0,0,0.0,0,0
1,toolhunt,wikimedia/toolhunt,575055016,0,0,0,0,0.0,1,0
2,mediawiki-extensions-RealMe,wikimedia/mediawiki-extensions-RealMe,574852324,18,0,0,0,0.0,0,0
3,mediawiki-extensions-WatchAnalytics,wikimedia/mediawiki-extensions-WatchAnalytics,571660657,62,0,0,0,0.0,0,0
4,mediawiki-extensions-PagePermissions,wikimedia/mediawiki-extensions-PagePermissions,571658997,18,0,0,0,0.0,0,0
5,operations-debs-varnish-modules,wikimedia/operations-debs-varnish-modules,564766594,125,0,0,0,0.0,0,0
6,generated-data-platform-aqs-device_analytics,wikimedia/generated-data-platform-aqs-device_analytics,564517427,14,0,0,0,0.0,0,0
7,generated-data-platform-aqs,wikimedia/generated-data-platform-aqs,564515853,0,0,0,0,0.0,1,0
8,operations-software-liberica,wikimedia/operations-software-liberica,564507741,1,0,0,0,0.0,0,0
9,abaculus,wikimedia/abaculus,564302030,0,0,0,0,0.0,1,0
10,mediawiki-libs-IPAValidator,wikimedia/mediawiki-libs-IPAValidator,563808839,14,0,0,0,0.0,0,0
11,tilelive-vector,wikimedia/tilelive-vector,563284253,0,0,0,0,0.0,1,0
12,mediawiki-libs-Bcp47Code,wikimedia/mediawiki-libs-Bcp47Code,561714108,18,0,0,0,0.0,0,0
13,mapnik-reference,wikimedia/mapnik-reference,560336659,0,0,0,0,0.0,1,0
14,operations-debs-benthos,wikimedia/operations-debs-benthos,551028459,1529,0,0,0,0.0,0,0
15,mediawiki-extensions-Monstranto,wikimedia/mediawiki-extensions-Monstranto,543747261,25,0,0,0,0.0,0,0
16,tilelive-bridge,wikimedia/tilelive-bridge,542448125,0,0,0,0,0.0,1,0
17,tilelive-tmsource,wikimedia/tilelive-tmsource,542440062,0,0,0,0,0.0,1,0
18,mediawiki-extensions-HTMLPurifier,wikimedia/mediawiki-extensions-HTMLPurifier,539185501,28,0,0,0,0.0,0,0
19,rsyslog_exporter,wikimedia/rsyslog_exporter,536660092,0,0,0,0,0.0,1,0
20,mediawiki-extensions-OurWorldInData,wikimedia/mediawiki-extensions-OurWorldInData,533241223,1,0,0,0,0.0,0,0
21,tilelive-overlay,wikimedia/tilelive-overlay,529193773,0,0,0,0,0.0,1,0
22,geojson-mapnikify,wikimedia/geojson-mapnikify,529189844,0,0,0,0,0.0,1,0
23,mediawiki-extensions-UnlinkedWikibase,wikimedia/mediawiki-extensions-UnlinkedWikibase,528006924,19,0,0,0,0.0,0,0
24,makizushi,wikimedia/makizushi,525806426,0,0,0,0,0.0,1,0
25,cloud-toolforge-kube-container-updater,wikimedia/cloud-toolforge-kube-container-updater,521956985,8,0,0,0,0.0,0,0
26,mediawiki-skins-Foreground,wikimedia/mediawiki-skins-Foreground,521670477,124,0,0,0,0.0,0,0
27,mediawiki-skins-Pivot,wikimedia/mediawiki-skins-Pivot,521670228,65,0,0,0,0.0,0,0
28,vegalite-wordpress-plugin,wikimedia/vegalite-wordpress-plugin,517816063,56,0,0,0,0.0,0,0
29,wikimedia-soundlogo-site,wikimedia/wikimedia-soundlogo-site,517812567,0,0,0,0,0.0,1,0
30,mediawiki-extensions-EmergencyCaptcha,wikimedia/mediawiki-extensions-EmergencyCaptcha,514669004,1,0,0,0,0.0,0,0
31,mediawiki-extensions-Toolhub,wikimedia/mediawiki-extensions-Toolhub,513641020,25,0,0,0,0.0,0,0
32,mediawiki-extensions-Realnames,wikimedia/mediawiki-extensions-Realnames,513639273,15,0,0,0,0.0,0,0
33,mediawiki-tools-wikilambda-cli,wikimedia/mediawiki-tools-wikilambda-cli,513635610,42,0,0,0,0.0,0,0
34,cloud-wmcs-cookbooks,wikimedia/cloud-wmcs-cookbooks,511505272,1,0,0,0,0.0,0,0
35,operations-software-varnish-libvmod-querysort,wikimedia/operations-software-varnish-libvmod-querysort,509589247,20,0,0,0,0.0,0,0
36,thumbor,wikimedia/thumbor,509198472,0,0,0,0,0.0,1,0
37,performance-asoranking,wikimedia/performance-asoranking,508891467,6,0,0,0,0.0,0,0
38,mediawiki-extensions-MultiMail,wikimedia/mediawiki-extensions-MultiMail,508846762,83,0,0,0,0.0,0,0
39,mediawiki-extensions-Share,wikimedia/mediawiki-extensions-Share,507881153,24,0,0,0,0.0,0,0
40,operations-software-helm-state-metrics,wikimedia/operations-software-helm-state-metrics,506281581,3884,0,0,0,0.0,0,0
41,shiro-wordpress-theme,wikimedia/shiro-wordpress-theme,504761465,825,0,0,0,0.0,0,0
42,mediawiki-extensions-SearchVue,wikimedia/mediawiki-extensions-SearchVue,501396507,109,0,0,0,0.0,0,0
43,DarkCosmos,wikimedia/DarkCosmos,499203630,0,0,0,0,0.0,1,0
44,pixel-seed-data,wikimedia/pixel-seed-data,496873102,16,0,0,0,0.0,0,0
45,operations-software-pampinus,wikimedia/operations-software-pampinus,496340806,1,0,0,0,0.0,0,0
46,cloud-toolforge-toolforge-build-api,wikimedia/cloud-toolforge-toolforge-build-api,495946952,1,0,0,0,0.0,0,0
47,cloud-toolforge-toolforge-build-cli,wikimedia/cloud-toolforge-toolforge-build-cli,495944571,1,0,0,0,0.0,0,0
48,design-playground-ios,wikimedia/design-playground-ios,495819282,27,0,0,0,0.0,0,0
49,mediawiki-skins-cli,wikimedia/mediawiki-skins-cli,493827224,88,0,0,0,0.0,0,0
50,operations-debs-kubeconform,wikimedia/operations-debs-kubeconform,493646728,226,0,0,0,0.0,0,0
51,mediawiki-extensions-Phonos,wikimedia/mediawiki-extensions-Phonos,493131688,83,0,0,0,0.0,0,0
52,labs-tools-stewardbots-ui,wikimedia/labs-tools-stewardbots-ui,491923174,15,0,0,0,0.0,0,0
53,mediawiki-extensions-Json5Config,wikimedia/mediawiki-extensions-Json5Config,491410973,1,0,0,0,0.0,0,0
54,mediawiki-extensions-MenuEditor,wikimedia/mediawiki-extensions-MenuEditor,490250434,113,0,0,0,0.0,0,0
55,mediawiki-extensions-ImportOfficeFiles,wikimedia/mediawiki-extensions-ImportOfficeFiles,490250322,207,0,0,0,0.0,0,0
56,mediawiki-extensions-EnhancedUpload,wikimedia/mediawiki-extensions-EnhancedUpload,490250179,113,0,0,0,0.0,0,0
57,operations-debs-python-opensearch,wikimedia/operations-debs-python-opensearch,486603581,218,0,0,0,0.0,0,0
58,mediawiki-extensions-PhotoSwipe,wikimedia/mediawiki-extensions-PhotoSwipe,485746494,17,0,0,0,0.0,0,0
59,mediawiki-extensions-SimilarEditors,wikimedia/mediawiki-extensions-SimilarEditors,484186210,70,0,0,0,0.0,0,0
60,mediawiki-extensions-EasyWiki,wikimedia/mediawiki-extensions-EasyWiki,477257663,1,0,0,0,0.0,0,0
61,generated-data-platform-datasets-image-suggestions,wikimedia/generated-data-platform-datasets-image-suggestions,477254058,18,0,0,0,0.0,0,0
62,generated-data-platform-datasets,wikimedia/generated-data-platform-datasets,477253980,0,0,0,0,0.0,1,0
63,generated-data-platform,wikimedia/generated-data-platform,477253868,0,0,0,0,0.0,1,0
64,abstract-wikimedia-helpers,wikimedia/abstract-wikimedia-helpers,475568648,5,0,0,0,0.0,0,0
65,pixel,wikimedia/pixel,474465387,59,0,0,0,0.0,0,0
66,cert-manager,wikimedia/cert-manager,474030929,0,0,0,0,0.0,1,0
67,mediawiki-extensions-WikiVideos,wikimedia/mediawiki-extensions-WikiVideos,474021841,34,0,0,0,0.0,0,0
68,labs-tools-force-rebase,wikimedia/labs-tools-force-rebase,472716926,16,0,0,0,0.0,0,0
69,operations-software-mediabackups,wikimedia/operations-software-mediabackups,471325726,41,0,0,0,0.0,0,0
70,operations-debs-istio,wikimedia/operations-debs-istio,470297111,4820,0,0,0,0.0,0,0
71,polyfill-library,wikimedia/polyfill-library,468482598,0,0,0,0,0.0,1,0
72,mediawiki-extensions-SemanticRESTAPI,wikimedia/mediawiki-extensions-SemanticRESTAPI,466571920,28,0,0,0,0.0,0,0
73,wikidata-propertysuggester-RecommenderServer,wikimedia/wikidata-propertysuggester-RecommenderServer,465434628,54,0,0,0,0.0,0,0
74,wikidata-propertysuggester,wikimedia/wikidata-propertysuggester,465434308,0,0,0,0,0.0,1,0
75,mediawiki-extensions-VueTest,wikimedia/mediawiki-extensions-VueTest,464821425,29,0,0,0,0.0,0,0
76,mediawiki-extensions-RegularTooltips,wikimedia/mediawiki-extensions-RegularTooltips,462886325,17,0,0,0,0.0,0,0
77,analytics-datahub,wikimedia/analytics-datahub,461452766,4811,0,0,0,0.0,0,0
78,mediawiki-extensions-RedirectManager,wikimedia/mediawiki-extensions-RedirectManager,461436485,53,0,0,0,0.0,0,0
79,mediawiki-extensions-ImageSuggestions,wikimedia/mediawiki-extensions-ImageSuggestions,461435770,18,0,0,0,0.0,0,0
80,mediawiki-extensions-PageOwnership,wikimedia/mediawiki-extensions-PageOwnership,461435134,26,0,0,0,0.0,0,0
81,mediawiki-extensions-TuleapWikiFarm,wikimedia/mediawiki-extensions-TuleapWikiFarm,457703109,78,0,0,0,0.0,0,0
82,releng-phatality,wikimedia/releng-phatality,457531746,24,0,0,0,0.0,0,0
83,mediawiki-extensions-PageProperties,wikimedia/mediawiki-extensions-PageProperties,454446854,65,0,0,0,0.0,0,0
84,objectcache,wikimedia/objectcache,450950920,1,0,0,0,0.0,0,0
85,operations-docker-images-docker-report,wikimedia/operations-docker-images-docker-report,449195838,35,0,0,0,0.0,0,0
86,mediawiki-extensions-BlueSpiceProDistributionConnector,wikimedia/mediawiki-extensions-BlueSpiceProDistributionConnector,447543505,47,0,0,0,0.0,0,0
87,cloud-toolforge-toolforge-cli,wikimedia/cloud-toolforge-toolforge-cli,447542994,1,0,0,0,0.0,0,0
88,mediawiki-skins-Cavendish,wikimedia/mediawiki-skins-Cavendish,447532477,65,0,0,0,0.0,0,0
89,operations-software-schema-changes,wikimedia/operations-software-schema-changes,446456208,53,0,0,0,0.0,0,0
90,mediawiki-extensions-CategoryExplorer,wikimedia/mediawiki-extensions-CategoryExplorer,445700210,13,0,0,0,0.0,0,0
91,wikiwho_api,wikimedia/wikiwho_api,444173400,220,0,0,0,0.0,0,0
92,mediawiki-skins-TuleapSkin,wikimedia/mediawiki-skins-TuleapSkin,440830758,78,0,0,0,0.0,0,0
93,mediawiki-extensions-TuleapIntegration,wikimedia/mediawiki-extensions-TuleapIntegration,440830316,45,0,0,0,0.0,0,0
94,mediawiki-extensions-PrincePDF,wikimedia/mediawiki-extensions-PrincePDF,440829817,1,0,0,0,0.0,0,0
95,mediawiki-extensions-GoogleDocCreator,wikimedia/mediawiki-extensions-GoogleDocCreator,440829242,15,0,0,0,0.0,0,0
96,mediawiki-dgraph-skin,wikimedia/mediawiki-dgraph-skin,439452502,0,0,0,0,0.0,1,0
97,mediawiki-skins-Wisky,wikimedia/mediawiki-skins-Wisky,439437819,13,0,0,0,0.0,0,0
98,cfssl,wikimedia/cfssl,439347406,0,0,0,0,0.0,1,0
99,eveskin,wikimedia/eveskin,439077373,0,0,0,0,0.0,1,0
100,mediawiki-extensions-UrlShortener,wikimedia/mediawiki-extensions-UrlShortener,436988546,162,0,0,0,0.0,0,0
101,mediawiki-extensions-CampaignEvents,wikimedia/mediawiki-extensions-CampaignEvents,435640278,262,0,0,0,0.0,0,0
102,wikimedia-developer-portal,wikimedia/wikimedia-developer-portal,435639268,189,0,0,0,0.0,0,0
